State,All Fields,Life Sciences,Physical Sciences and Earth Sciences,Mathematics and Computer Sciences,Psychology and Social Sciences,Engineering,code
0,Alaska,52.0,10.0,20.0,0.0,17.0,3.0,AK
1,Alabama,707.0,188.0,59.0,48.0,89.0,131.0,AL
2,Arkansas,202.0,75.0,17.0,10.0,19.0,33.0,AR
3,Arizona,801.0,133.0,110.0,51.0,156.0,141.0,AZ
4,California,6105.0,1300.0,841.0,495.0,1132.0,1151.0,CA
5,Colorado,1005.0,212.0,155.0,67.0,128.0,206.0,CO
6,Connecticut,748.0,196.0,104.0,60.0,129.0,97.0,CT
7,District of Columbia,623.0,55.0,37.0,24.0,207.0,78.0,
8,Delaware,238.0,59.0,24.0,19.0,45.0,69.0,DE
9,Florida,2336.0,490.0,259.0,145.0,409.0,419.0,FL
10,Georgia,1492.0,357.0,129.0,99.0,216.0,360.0,GA
11,Hawaii,189.0,44.0,29.0,4.0,61.0,11.0,HI
12,Iowa,715.0,150.0,79.0,72.0,82.0,152.0,IA
13,Idaho,103.0,32.0,14.0,5.0,15.0,16.0,ID
14,Illinois,2534.0,478.0,267.0,193.0,445.0,435.0,IL
15,Indiana,1572.0,309.0,195.0,119.0,221.0,329.0,IN
16,Kansas,530.0,148.0,44.0,23.0,111.0,74.0,KS
17,Kentucky,497.0,138.0,22.0,35.0,75.0,48.0,KY
18,Louisiana,607.0,157.0,68.0,48.0,90.0,74.0,LA
19,Massachusetts,2879.0,706.0,372.0,177.0,474.0,597.0,MA
20,Maryland,1295.0,439.0,141.0,118.0,205.0,225.0,MD
21,Maine,56.0,15.0,11.0,1.0,9.0,11.0,ME
22,Michigan,1906.0,385.0,206.0,118.0,345.0,394.0,MI
23,Minnesota,1374.0,397.0,66.0,53.0,362.0,128.0,MN
24,Missouri,1022.0,259.0,108.0,55.0,152.0,171.0,MO
25,Mississippi,460.0,107.0,48.0,20.0,76.0,51.0,MS
26,Montana,119.0,36.0,15.0,11.0,14.0,9.0,MT
27,North Carolina,1833.0,545.0,194.0,155.0,247.0,316.0,NC
28,North Dakota,181.0,46.0,10.0,8.0,32.0,30.0,ND
29,Nebraska,363.0,143.0,32.0,27.0,46.0,44.0,NE
30,New Hampshire,158.0,60.0,32.0,10.0,17.0,17.0,NH
31,New Jersey,1115.0,209.0,145.0,100.0,179.0,194.0,NJ
32,New Mexico,299.0,45.0,44.0,21.0,43.0,74.0,NM
33,Nevada,200.0,21.0,20.0,11.0,44.0,34.0,NV
34,New York,4064.0,859.0,411.0,302.0,835.0,567.0,NY
35,Ohio,2028.0,440.0,260.0,113.0,283.0,410.0,OH
36,Oklahoma,524.0,137.0,46.0,25.0,73.0,70.0,OK
37,Oregon,572.0,183.0,95.0,52.0,80.0,71.0,OR
38,Pennsylvania,2628.0,589.0,248.0,206.0,356.0,545.0,PA
39,Puerto Rico,84.0,8.0,4.0,1.0,43.0,4.0,
40,Rhode Island,322.0,67.0,47.0,37.0,58.0,39.0,RI
41,South Carolina,506.0,100.0,59.0,32.0,65.0,141.0,SC
42,South Dakota,110.0,37.0,12.0,10.0,19.0,21.0,SD
43,Tennessee,1032.0,270.0,87.0,52.0,153.0,185.0,TN
44,Texas,4068.0,905.0,424.0,296.0,553.0,880.0,TX
45,Utah,508.0,116.0,54.0,49.0,82.0,99.0,UT
46,Virginia,1513.0,265.0,145.0,103.0,277.0,291.0,VA
47,Vermont,61.0,25.0,6.0,4.0,7.0,7.0,VT
48,Washington,914.0,256.0,110.0,68.0,116.0,171.0,WA
49,Wisconsin,1130.0,311.0,121.0,75.0,138.0,176.0,WI
50,West Virginia,183.0,52.0,17.0,11.0,31.0,32.0,WV
51,Wyoming,101.0,28.0,18.0,5.0,18.0,12.0,WY
